LSOA21CD,maximum_p90_passengers,maximum_p90_capacity_pct,median_p90_capacity_pct,maximum_p90_pmd_tkm,median_p90_pmd_tkm,LSOA21NM,demand_occurrence,demand_occurrence_z,health_vulnerability_z,health_demand_gap,higher_health,lower_demand,health_demand_group,health_demand_divergence,highest_loading_direction,highest_loading_period,highest_loading_p90_passengers,highest_loading_capacity_pct,pmd_under_highest_loading_condition,higher_operational_pressure,higher_pmd_burden,planning_context
E01005830,24.10000000000001,24.10000000000001,14.0,0.5449173880000004,0.31654952000000014,Stockport 027E,0.24758842443729903,-2.1733904650824174,-0.8311106701538108,1.3422797949286065,False,True,C. Lower health vulnerability + Lower demand,False,Manchester to Hazel Grove,AM peak,24.10000000000001,24.10000000000001,0.5449173880000004,False,False,Lower immediate combined priority
E01005831,21.0,21.0,12.5,0.4542920200000005,0.31450986000000036,Stockport 027F,0.29508196721311475,-1.836329133730093,-0.7728962641576997,1.0634328695723934,False,True,C. Lower health vulnerability + Lower demand,False,Manchester to Hazel Grove,AM peak,21.0,21.0,0.4192250320000003,False,False,Lower immediate combined priority
E01005836,16.700000000000003,16.700000000000003,6.500000000000007,0.38915040000000045,0.12883541800000006,Stockport 031B,0.46064623032311514,-0.6613207497137311,-0.1595513671418041,0.501769382571927,True,True,A. Higher health vulnerability + Lower demand,True,Manchester to Hazel Grove,PM interpeak,16.700000000000003,16.700000000000003,0.38915040000000045,False,False,Equity/accessibility investigation
E01005838,19.0,19.0,14.350000000000009,0.3833007000000008,0.21548437719999997,Stockport 031C,0.5541044776119403,0.001951758840145242,-0.6495920434985637,-0.6515438023387089,False,True,C. Lower health vulnerability + Lower demand,False,Manchester to Hazel Grove,AM peak,19.0,19.0,0.3833007000000008,False,False,Lower immediate combined priority
E01005840,17.0,17.0,9.75,0.36183165839999987,0.18671538600000015,Stockport 031D,0.6091286307053941,0.39245777743216675,-0.2884322538048559,-0.6808900312370226,True,False,B. Higher health vulnerability + Higher demand,False,Manchester to Hazel Grove,AM peak,17.0,17.0,0.186714808,False,False,Health-sensitive service monitoring
E01005841,5.0,5.0,3.5,0.11255598000000001,0.07878918600000001,Stockport 035D,0.3843283582089552,-1.202948138982194,-0.7104747974371286,0.4924733415450655,False,True,C. Lower health vulnerability + Lower demand,False,Hazel Grove to Manchester,AM peak,5.0,5.0,0.11255598000000001,False,False,Lower immediate combined priority
E01005863,64.0,64.0,24.65,1.4428316159999979,0.5474201007999997,Stockport 006A,0.5804973821989529,0.18926201279077892,-1.2474868771973098,-1.4367488899880887,False,True,C. Lower health vulnerability + Lower demand,False,Manchester to Hazel Grove,AM peak,64.0,64.0,1.4428316159999979,True,True,Operational review despite lower local demand
E01005866,67.0,67.0,26.5,1.3847948399999985,0.5637824580000008,Stockport 006C,0.5741710296684118,0.1443639344011808,-0.6968183511528784,-0.8411822855540592,False,True,C. Lower health vulnerability + Lower demand,False,Manchester to Hazel Grove,AM peak,67.0,67.0,1.3847948399999985,True,True,Operational review despite lower local demand
E01005869,69.0,69.0,26.5,0.8980393139999983,0.4365089829999996,Stockport 006D,0.612892670157068,0.41917113833751335,-0.36007798536661917,-0.7792491237041326,False,False,D. Lower health vulnerability + Higher demand,False,Manchester to Hazel Grove,AM peak,69.0,69.0,0.8980393139999983,True,False,Operational capacity / reliability priority
E01005874,41.900000000000006,41.900000000000006,25.700000000000003,0.611774525599997,0.3752411767999982,Stockport 019C,0.2845659163987138,-1.9109614706943425,1.7134491951818873,3.62441066587623,True,True,A. Higher health vulnerability + Lower demand,True,Manchester to Hazel Grove,AM peak,41.900000000000006,41.900000000000006,0.611774525599997,False,False,Equity/accessibility investigation
E01005877,35.0,35.0,22.64999999999999,0.7194963719999985,0.5261681832000008,Stockport 019E,0.2741157556270096,-1.985126186499668,-0.08394885972000565,1.9011773267796626,True,True,A. Higher health vulnerability + Lower demand,True,Manchester to Hazel Grove,AM peak,35.0,35.0,0.7194963719999985,False,False,Equity/accessibility investigation
