LSOA21CD,LSOA21NM,demand_occurrence,scheduled_stop_visits,positive_demand_visits,unique_stops,unique_trips,poor_general_health_rate,activity_limiting_disability_rate,health_deprivation_disability_score_2025,poor_general_health_rate_z,activity_limiting_disability_rate_z,health_deprivation_disability_score_2025_z,health_composite_raw,health_vulnerability_z,health_census_raw,health_census_only_z,health_iod_only_z,demand_occurrence_z,health_demand_gap,lower_demand,higher_health,health_demand_group,health_demand_divergence
E01005063,Manchester 018C,0.606076479832373,3818,2314,5,1528,0.0642115203021719,0.174917491749175,1.36,0.38945636512182263,-0.10580637768753105,0.8524258590887316,0.3786919488410077,0.42708849797163084,0.1418249937171458,0.14660814311988496,0.8524258590887316,0.37079668464730675,0.05629181332432409,False,True,B. Higher health vulnerability + Higher demand,False
E01005065,Manchester 018D,0.5825327510917031,4580,2668,6,1528,0.0629595588235294,0.167741935483871,1.316,0.31855668483608035,-0.27762534740496553,0.7791374792001468,0.2733562722104205,0.3082910002887034,0.02046566871555741,0.02115588803817362,0.7791374792001468,0.2037070111776511,0.10458398911105227,True,True,A. Higher health vulnerability + Lower demand,True
E01005215,Manchester 034C,0.6141732283464567,762,468,1,762,0.0493887530562347,0.157534246575342,0.6,-0.4499699883362992,-0.5220488494462013,-0.4134643389868232,-0.46182772558977464,-0.5208489650953796,-0.48600941889125027,-0.5024004343305419,-0.4134643389868232,0.4282592505936757,-0.9491082156890553,False,False,D. Lower health vulnerability + Higher demand,False
E01005216,Manchester 034D,0.6469816272965879,762,493,1,762,0.0425114453891432,0.151733158927404,0.4759999999999999,-0.839437973686911,-0.6609561154554963,-0.6200043186728349,-0.7067994692717474,-0.7971279152416139,-0.7501970445712036,-0.7754979767385884,-0.6200043186728349,0.6611002218783133,-1.458228137119927,False,False,D. Lower health vulnerability + Higher demand,False
E01005219,Manchester 031A,0.6404199475065617,1524,976,2,762,0.0500658761528327,0.174637999122422,1.293,-0.4116239114945864,-0.11249883934440942,0.7408276442583864,0.0722349644731302,0.0814665391547996,-0.2620613754194979,-0.2708995828360174,0.7408276442583864,0.6145320276213861,-0.5330654884665865,False,True,B. Higher health vulnerability + Higher demand,False
E01005221,Manchester 031C,0.6572475143903715,3822,2512,5,1528,0.0449745795854517,0.143918654673445,0.537,-0.6999485165444219,-0.8480747192437502,-0.5183999738272967,-0.6888077365384896,-0.776836852459658,-0.7740116178940861,-0.8001157135884372,-0.5183999738272967,0.7339571487173306,-1.5107940011769885,False,False,D. Lower health vulnerability + Higher demand,False
E01005222,Manchester 031D,0.6174934725848564,1532,946,2,766,0.0702402957486137,0.19547134935305,1.293,0.7308712240923423,0.38635653019638316,0.7408276442583864,0.619351799515704,0.6985044983944073,0.5586138771443627,0.5774535298938186,0.7408276442583864,0.45182300006363024,0.24668149833077707,False,True,B. Higher health vulnerability + Higher demand,False
E01005232,Manchester 020C,0.6564136125654451,1528,1003,2,1528,0.073208722741433,0.169781931464174,1.127,0.8989758569686322,-0.22877756549038547,0.4643305746787259,0.37817628871899084,0.42650693686992247,0.33509914573912336,0.3464006042253273,0.4643305746787259,0.7280389534659547,-0.30153201659603224,False,True,B. Higher health vulnerability + Higher demand,False
E01005234,Manchester 063A,0.6091703056768559,2290,1395,3,1528,0.0514483354950281,0.126242974492002,1.093,-0.33333402235521037,-1.2713195584648311,0.40769864476481943,-0.39898497868507404,-0.4499749619218705,-0.8023267904100208,-0.8293858355597419,0.40769864476481943,0.39275354440476945,-0.8427285063266399,False,False,D. Lower health vulnerability + Higher demand,False
E01005238,Manchester 063D,0.5879265091863517,762,448,1,762,0.0443864229765013,0.13272410791993,0.815,-0.7332563428984284,-1.1161285701964623,-0.055350664531238734,-0.6349118592087099,-0.716053122131916,-0.9246924565474454,-0.9558783713522309,-0.055350664531238734,0.2419864735659653,-0.9580395956978813,True,False,C. Lower health vulnerability + Lower demand,False
