specification,model_family,added_health_features,cv_log_loss,cv_brier_score,cv_roc_auc,cv_pr_auc,cv_balanced_accuracy,test_log_loss,delta_test_log_loss,test_brier_score,delta_test_brier_score,test_roc_auc,delta_test_roc_auc,test_pr_auc,delta_test_pr_auc,test_balanced_accuracy,delta_test_balanced_accuracy,elapsed_seconds
Health Model C — Census indicators + health deprivation,XGBoost,"poor_general_health_rate, activity_limiting_disability_rate, health_deprivation_disability_score_2025",0.5356606841087341,0.18170294165611267,0.7896901415117595,0.8232685966099853,0.6954169793180706,0.5310741437697949,0.0006473919361986713,0.18013472963432361,0.00023853798339293353,0.7921643775118493,0.0004923948683461798,0.8247213207101318,0.0004596262741940471,0.7000035395154725,0.0007345500149624762,4.834982872009277
Health Model A — IMD health deprivation only,XGBoost,health_deprivation_disability_score_2025,0.5357092142105102,0.18168944716453553,0.7897883937908983,0.8232164637870039,0.6953049014922067,0.5317519573621122,-3.04216561186621e-05,0.18033731378725953,3.595383045701395e-05,0.7917590828793636,8.71002358604489e-05,0.8241354609230299,-0.00012623351290785845,0.700529760889641,0.0012607713891310546,4.47307014465332
Health Model B — direct Census indicators,XGBoost,"poor_general_health_rate, activity_limiting_disability_rate",0.5357138872146606,0.1816732704639435,0.7898784270637476,0.823030189427018,0.6967267422094509,0.5318219299206808,-0.0001003942146872161,0.18035995392630239,1.3313691414162943e-05,0.7919189040694776,0.00024692142597448896,0.8241494298697635,-0.0001122645661743027,0.6999761484923273,0.0007071589918172805,4.474870920181274
Baseline — no health indicators,XGBoost,None,0.5357269406318664,0.18171591758728028,0.7896934081441593,0.823007062344205,0.6955182140281978,0.5317215357059936,0.0,0.18037326761771655,0.0,0.7916719826435031,0.0,0.8242616944359378,0.0,0.69926898950051,0.0,5.34089207649231
