model,best_refit_score,mean_cv_log_loss,std_cv_log_loss,mean_cv_brier_score,std_cv_brier_score,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_pr_auc,std_cv_pr_auc,mean_cv_balanced_accuracy,std_cv_balanced_accuracy,mean_cv_precision,std_cv_precision,mean_cv_recall,std_cv_recall,mean_cv_specificity,std_cv_specificity
Logistic regression,-0.6368689160395731,0.6368689160395731,0.003181372737685775,0.22237558042915873,0.0008603831158811963,0.6773252311002327,0.003402556464948625,0.7255395507985936,0.004195924779896582,0.6177091699028132,0.004055472667722835,0.6534802190957654,0.0040255911217737025,0.7770408191911427,0.009523683561621298,0.4583775206144837,0.014419619475532943
Random forest,-0.5409212178760682,0.5409212178760682,0.006529567139828446,0.18414146417400148,0.002727725677726569,0.7903273310699699,0.005934934562393224,0.8246848414285374,0.004614951390578213,0.705943015129262,0.006289321177471288,0.7568307667684013,0.003678782130044673,0.7128315506326613,0.012849526039594448,0.6990544796258626,0.00451416858559786
Gradient boosting,-0.5977448002967295,0.5977448002967295,0.0030324661467865553,0.20529876103824735,0.00136556340423019,0.7467623806835084,0.004916344395440762,0.7829598999927478,0.005220652384303166,0.6606202068805798,0.006973079786719414,0.6810149985727043,0.006136890083608257,0.8360895953806295,0.012587232056288358,0.4851508183805301,0.018193721118614895
XGBoost,-0.5357269406318664,0.5357269406318664,0.006241642202835528,0.18171591758728028,0.002624870052652345,0.7896934081441593,0.006151931799598935,0.823007062344205,0.004463724546856968,0.6955182140281978,0.0052244338299033835,0.7157345278046764,0.003741041321152866,0.8180935331944731,0.014834946306451179,0.5729428948619224,0.011353952311101789
